tick,tick_dt,input_force,output_position,output_speed,output_ang_vel,output_angle
24.0,0.004470137000000207,0.0,2.695547197800382e-10,1.8772361829434746e-08,7.591324382710841e-08,6.622005215239084e-10
25.0,0.004987762999999923,0.0,2.7891792895558474e-10,1.8606966047198484e-08,-6.520523462053256e-08,7.000642484009908e-10
26.0,0.005143494999999998,0.0,2.8848841263847827e-10,1.749228238911348e-08,7.326213411839339e-08,6.665259685765372e-10
27.0,0.0046898349999997535,0.0,2.9669200445631266e-10,1.6026096002204186e-08,3.7364434427943004e-08,7.008847006528489e-10
28.0,0.005468068999999964,0.0,3.054551843303803e-10,1.5722953184929976e-08,-7.077583160909236e-09,7.213158312126455e-10
29.0,0.005362338999999938,0.0,3.138863648362526e-10,1.5036532591718404e-08,8.230756255585205e-08,7.175205911916968e-10
30.0,0.0041561740000002345,0.0,3.201358094170382e-10,2.6841324885142928e-08,6.25629584331262e-08,7.517290463414993e-10
31.0,0.005136381999999884,0.0,3.339225392166579e-10,2.9436095666799378e-08,-7.684862298191967e-08,7.838637716977644e-10
32.0,0.0055784499999997905,0.0,3.5034331800390297e-10,2.7576777437507798e-08,1.4878760025927342e-07,7.409941516104171e-10
33.0,0.004600605999999896,0.0,3.6303030677786896e-10,2.819996150908765e-08,6.88442800405617e-08,8.09445464258257e-10
34.0,0.004746952000000082,0.0,3.7641669314641785e-10,2.8110054591674023e-08,-2.370055743212269e-08,8.42125513540968e-10
35.0,0.004936242999999951,0.0,3.902924991671946e-10,-5.035630953125519e-09,-1.2559823441060378e-08,8.304263424689267e-10
36.0,0.005839394000000109,0.0,3.87351995849805e-10,-1.116899600493046e-08,-6.769829592414706e-10,8.230921667046478e-10
37.0,0.00490296499999987,0.0,3.8187587620007374e-10,-1.1488584593601931e-08,4.064292458594275e-08,8.227602443291722e-10
38.0,0.004692782999999867,0.0,3.764845327525822e-10,-1.1595506207682187e-08,-7.223822375474932e-08,8.41833086885891e-10
39.0,0.005173107000000066,0.0,3.704860533194317e-10,-1.1560952757649858e-08,-4.2304837441042967e-08,8.044634807885645e-10
40.0,0.004830821999999735,0.0,3.6490116282717047e-10,-1.1975159717046316e-08,8.051501121659059e-09,7.840267668469043e-10
41.0,0.0048536069999998155,0.0,3.590888909242933e-10,-1.2020272806223906e-08,-3.2050344699345675e-08,7.879346490673633e-10
42.0,0.004685292999999646,0.0,3.534570409205846e-10,-9.175276970533815e-09,-2.1163043616715414e-08,7.729181235006213e-10
43.0,0.005071583999999962,0.0,3.4880372213265184e-10,-8.948341396627197e-09,-2.8342809431936586e-08,7.621851081608378e-10
44.0,0.005410568999999921,0.0,3.4396216027645113e-10,-9.237065842136709e-09,8.398722809515468e-09,7.468500355523036e-10
45.0,0.004522362999999974,0.0,3.3978482379714686e-10,-9.219083614320642e-09,6.270528785417549e-09,7.506482428804045e-10
46.0,0.005165652000000076,0.0,3.350225660260985e-10,-9.324736261863736e-09,-8.616428545133896e-08,7.538873798365495e-10
47.0,0.004900632000000016,0.0,3.304528559344535e-10,-1.0202052842190252e-08,3.230407323663235e-08,7.116614343825528e-10
48.0,0.005045904999999795,0.0,3.253049969897865e-10,-1.0292874689733282e-08,-2.4057813510988318e-08,7.279617628490611e-10
49.0,0.005363713999999575,0.0,3.1978419338243014e-10,-1.580429904993258e-08,-5.144662039588839e-08,7.150578397352344e-10
50.0,0.004631594999999766,0.0,3.124642821366133e-10,-1.539474345461116e-08,-4.015522059844586e-09,6.912298487559861e-10
51.0,0.004849048000000078,0.0,3.049992971407036e-10,-1.5491356736396604e-08,-7.593272921450377e-08,6.892827028346615e-10
52.0,0.005921897999999981,0.0,2.958254736932483e-10,-1.6117759639786046e-08,-1.3866942911586644e-08,6.443161151076704e-10
53.0,0.004464564999999698,0.0,2.8862959513662865e-10,-1.6500441681295295e-08,3.5503474643056875e-08,6.38125128309664e-10
54.0,0.005000480000000085,0.0,2.803785822747802e-10,-1.6757586186409155e-08,-1.32200690598831e-07,6.558785697979757e-10
55.0,0.005669799000000086,0.0,2.7087736773456837e-10,-1.8174944005676e-08,2.3361978270008303e-08,5.809234354623184e-10
56.0,0.004591221999999728,0.0,2.625328474578061e-10,-1.8059575169189416e-08,8.672609423045813e-09,5.916494383219961e-10
57.0,0.005031215999999894,0.0,2.534466851033634e-10,-1.8205382192584596e-08,-1.0944640642021894e-07,5.960128154510939e-10
58.0,0.005056654000000105,0.0,2.4424085323479705e-10,-1.9078410796618323e-08,2.2869702504009813e-09,5.406695545700502e-10
59.0,0.004570846000000017,0.0,2.3552040546718905e-10,-8.283502167575273e-09,-1.6881095614007865e-08,5.417148934521666e-10
60.0,0.0054140090000003305,0.0,2.3103570993851158e-10,-6.339912483553479e-09,-4.839988346322575e-08,5.325754530937561e-10
61.0,0.004579268000000081,0.0,2.2813249410263783e-10,-7.006868014478969e-09,4.2783141776140765e-08,5.104118493390679e-10
62.0,0.0052386309999996605,0.0,2.2446185450328227e-10,-7.239233093284838e-09,-6.83684813074888e-08,5.328243586176551e-10
63.0,0.0047192069999999475,0.0,2.2104551055443617e-10,-7.915610616902305e-09,3.274633193251681e-08,5.005598570610884e-10
64.0,0.005162599999999795,0.0,2.1695899741735434e-10,-8.072398846170212e-09,-4.300079997841927e-08,5.174654783845688e-10
65.0,0.004792780999999913,0.0,2.1309007343591976e-10,-8.445048450622343e-09,1.1935726690152784e-08,4.968561366724324e-10
66.0,0.004951887999999904,0.0,2.089081800277143e-10,-8.504789517738865e-09,-2.9927393010545484e-08,5.027665748492569e-10
67.0,0.0048097450000001984,0.0,2.0481759314181443e-10,-1.4166671406629507e-08,-4.498294259489551e-08,4.883722619597057e-10
68.0,0.005682901999999768,0.0,1.9676681261480698e-10,1.3826297046514273e-08,4.362961713761296e-08,4.6280889651586505e-10
69.0,0.004549627000000278,0.0,2.0305726205009153e-10,7.762133269722992e-09,6.111483801801468e-08,4.826587449287609e-10
70.0,0.004892627999999899,0.0,2.0685498510760929e-10,7.60096783149232e-09,-6.401100330504638e-08,5.125599616990006e-10
71.0,0.0052852560000000715,0.0,2.1087229119132951e-10,6.722798271800775e-09,3.735003756981545e-08,4.787285077705986e-10
72.0,0.00499315900000008,0.0,2.1422909126093223e-10,6.7111933948605524e-09,3.897807620379855e-08,4.973779753948051e-10
73.0,0.004714269000000382,0.0,2.1739292835837207e-10,6.675755200024602e-09,2.5962722444071644e-09,5.157532890275272e-10
74.0,0.005210310000000273,0.0,2.2087120376599627e-10,6.655073392489252e-09,-1.7012368643718337e-08,5.171060273513029e-10
75.0,0.0051183089999997655,0.0,2.2427747597003995e-10,6.1992530711638215e-09,4.2070507359782345e-08,5.083985713972572e-10
76.0,0.004650070999999922,0.0,2.2716017266282788e-10,2.9167528216707532e-08,6.821050939619727e-08,5.27961656020158e-10
77.0,0.005138050999999866,0.0,2.421465974149657e-10,3.15086919929069e-08,1.2014628921580647e-08,5.630085636215211e-10
78.0,0.005846746000000014,0.0,2.605689293024418e-10,3.082751208127671e-08,9.042412939480175e-08,5.700332119803947e-10
79.0,0.0040509209999997076,0.0,2.7305691090922067e-10,3.0856463868695193e-08,8.683416077517544e-08,6.066633124476041e-10
80.0,0.004882798999999771,0.0,2.8812350200138005e-10,3.060407863815905e-08,-1.0483308718351323e-07,6.490626877874886e-10
81.0,0.005514213000000101,0.0,3.0499924282933624e-10,-4.828106005955172e-06,-0.004401045699186238,5.912554905697414e-10
82.0,0.004632728999999891,0.0,-1.931731428056881e-09,-7.072527688750732e-06,-1.5919221627335737e-05,-2.038293948603918e-06
83.0,0.005559626000000151,0.0,-5.863792310466835e-09,-2.468653583733494e-05,0.004398752774144333,-2.047144440449828e-06
84.0,0.005087808999999943,0.0,-1.842383023166822e-08,3.203967687804963e-06,6.838190810331006e-06,1.9085695485679804e-07
85.0,0.004310608999999577,0.0,-1.704272503659223e-08,-9.040021409399303e-07,-1.98640770885788e-06,1.9380463154187076e-07
86.0,0.005186419000000164,0.0,-1.7511578424573398e-08,-4.1385868640517834e-07,-9.425134628991945e-07,1.9277439727357403e-07
87.0,0.004807205999999731,0.0,-1.7710528820617296e-08,-2.898845012023491e-07,-6.067078606210425e-07,1.9232131163618107e-07
88.0,0.005231684000000403,0.0,-1.786218723129614e-08,-8.1752786368574e-08,-1.9815280857530452e-07,1.920039012554725e-07
89.0,0.004836051000000285,0.0,-1.7901723295723195e-08,-6.461689529166263e-08,-1.4919843474094842e-07,1.9190807354666617e-07
90.0,0.005065797999999955,0.0,-1.7934456909616665e-08,-4.5050460268828376e-08,-1.2329820130415686e-07,1.918324926334348e-07
91.0,0.005447607000000243,0.0,-1.7958998629888036e-08,-2.7781874193166757e-08,-7.409354335058466e-08,1.917653246189836e-07
92.0,0.004948583000000006,0.0,-1.797274672092208e-08,-2.904303596324485e-08,-3.872757573137358e-08,1.9172865881408015e-07
93.0,0.004526604999999684,0.0,-1.7985893356102718e-08,-2.882626972128673e-08,-8.698568590452881e-08,1.917111283702858e-07
94.0,0.0048212849999997864,0.0,-1.7999791322284038e-08,-2.857234254877989e-08,-1.046868913753447e-07,1.916691900920192e-07
95.0,0.0049772340000000526,0.0,-1.8014012445763383e-08,-2.7479023022582638e-08,-4.4701303660179694e-08,1.9161708497650842e-07
96.0,0.005434345999999923,0.0,-1.802894549764805e-08,-2.43497437664684e-08,-4.266633879234767e-08,1.9159279274143438e-07
97.0,0.004780808000000025,0.0,-1.804058664262772e-08,-2.439661185230754e-08,-1.860331695697936e-08,1.9157239478405146e-07
98.0,0.004955193999999885,0.0,-1.8052675637094807e-08,-2.4195355545991264e-08,-9.026490992394379e-08,1.9156317647959493e-07
99.0,0.0050141099999998495,0.0,-1.806480745451448e-08,-1.2354892034437669e-08,-3.21618101060328e-08,1.9151791666084507e-07
100.0,0.004875936999999997,0.0,-1.807083162203465e-08,-9.87777416856005e-09,-2.1110802150878583e-08,1.9150223476485677e-07
101.0,0.005077678000000141,0.0,-1.807584723769312e-08,1.88325798942498e-08,5.518827093499644e-08,1.9149151537929237e-07
102.0,0.005664380999999885,0.0,-1.8065179746919722e-08,1.6532768091418812e-08,3.539471046063064e-08,1.9152277611862307e-07
103.0,0.004726615000000045,0.0,-1.805736534395448e-08,1.7774247416437806e-08,6.65086556586175e-08,1.9153950583556146e-07
104.0,0.004872579999999793,0.0,-1.804870469970684e-08,1.793966410822886e-08,-3.296769248928332e-08,1.9157191271010037e-07
105.0,0.005001177000000023,0.0,-1.8039732756154258e-08,-1.1422433322576094e-08,-3.247158274646366e-08,1.9155542498355833e-07
106.0,0.004890981000000405,0.0,-1.8045319446589707e-08,-1.0532232822724045e-08,-3.934374353478582e-09,1.9153954319413303e-07
107.0,0.005289459999999746,0.0,-1.8050890429012356e-08,4.516572133657668e-08,1.1039244627661931e-07,1.9153746212255626e-07
108.0,0.00511747199999979,0.0,-1.8027776997582385e-08,3.756521720303186e-08,9.390235794963396e-08,1.9159395514783947e-07
109.0,0.004716419999999832,0.0,-1.8010059663410312e-08,2.7452718599867387e-08,8.471630715495284e-08,1.9163824344374756e-07
110.0,0.004664613999999734,0.0,-1.799725402985841e-08,2.776566969529825e-08,2.061158594898065e-08,1.916777603309859e-07
111.0,0.005148932999999634,0.0,-1.798295767256229e-08,1.746752362627594e-08,4.588869494838495e-08,1.9168837309849338e-07
112.0,0.004992794999999717,0.0,-1.7974236496099926e-08,1.806003675490494e-08,7.05082274330404e-08,1.9171128438316286e-07
113.0,0.004942359000000174,0.0,-1.7965310577580334e-08,3.200641801567308e-08,9.839522874697629e-08,1.9174613208040564e-07
114.0,0.005384013000000021,0.0,-1.7948078280512352e-08,1.7067977507923906e-08,5.060804223023186e-08,1.9179910819947682e-07
115.0,0.0050258639999998245,0.0,-1.7939500147141366e-08,1.8522056330053958e-08,6.96340796583751e-08,1.9182454311323237e-07
116.0,0.004532836000000096,0.0,-1.7931104402768676e-08,1.8740092413309267e-08,3.8956390213543207e-08,1.918561070995426e-07
117.0,0.0055014909999999695,0.0,-1.792079455779358e-08,1.9005724999471627e-08,-3.466336376873189e-09,1.9187753892255783e-07
118.0,0.004596691999999791,0.0,-1.791205821138765e-08,1.8583499144194265e-08,1.161886384921923e-07,1.9187594555448855e-07
119.0,0.005047798000000103,0.0,-1.7902677636406344e-08,1.8658814846637772e-08,-2.903787944275485e-09,1.919345952321889e-07
120.0,0.005027212000000336,0.0,-1.7893297454616065e-08,1.8428982081352707e-08,8.767197343721996e-08,1.91933135436429e-07
121.0,0.004943771000000208,0.0,-1.7884186587898735e-08,7.003376284148161e-09,4.312177604936766e-08,1.9197647845240817e-07
122.0,0.00593292000000023,0.0,-1.788003154077636e-08,3.9441532992334944e-08,1.2037616501096032e-07,1.9200206225716406e-07
123.0,0.004100660999999839,0.0,-1.786385790516417e-08,2.900284430923915e-08,1.2465271970678802e-07,1.9205142444168306e-07
124.0,0.005636984999999761,0.0,-1.784750904533132e-08,2.9060661033673377e-08,-9.028872203594336e-08,1.921216909928027e-07
125.0,0.004679906999999872,0.0,-1.783390892623171e-08,2.750649631367638e-08,2.1250122033024878e-07,1.92079436710575e-07
126.0,0.004971722000000067,0.0,-1.7820233460945147e-08,2.7460858329388906e-08,3.654698459253819e-08,1.9218508640978926e-07
127.0,0.005207179000000117,0.0,-1.780593410046367e-08,2.495437456990053e-08,9.435816472543814e-08,1.9220411707885762e-07
128.0,0.004355121999999767,0.0,-1.7795066165895108e-08,2.350018226825365e-08,9.232894243722221e-08,1.9224521121076515e-07
129.0,0.0054138710000000145,0.0,-1.7782343470367428e-08,2.318019534902877e-08,8.039789343692155e-10,1.9229519690915732e-07
130.0,0.004730125999999668,0.0,-1.7771378945896878e-08,2.2526430983295886e-08,1.577075658004139e-07,1.9229557720132342e-07
131.0,0.005128109000000158,-0.00012794342963,-1.7759827146550546e-08,-8.077931084926267e-08,-1.415701438124676e-07,1.9237645136007833e-07
