0.000001	0.000001	0.000051	0.000000	0.037738	0.000000	0.000042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.010100	0.010099	0.000022	-0.000111	-0.000219	-0.000000	-0.000093	0.000111	0.000001	0.010943	0.008787	0.000000	0.008787
0.019798	0.009698	0.000014	-0.000112	-0.000006	-0.000001	0.000009	0.000112	0.000002	0.000125	0.003414	0.000000	0.003414
0.029890	0.010092	0.000018	-0.000112	-0.000041	-0.000001	0.000002	0.000112	0.000003	0.000021	0.003369	0.000000	0.003369
0.039931	0.010041	0.000021	-0.000112	-0.000064	-0.000001	-0.000000	0.000112	0.000004	0.000045	0.003394	0.000000	0.003394
0.049851	0.009920	0.000016	-0.000113	-0.000081	-0.000001	0.000000	0.000113	0.000006	0.000068	0.003426	0.000000	0.003426
0.060075	0.010224	0.000022	-0.000114	-0.000100	-0.000001	-0.000000	0.000114	0.000007	0.000085	0.003461	0.000000	0.003461
0.069821	0.009746	0.000015	-0.000115	-0.000111	-0.000001	0.000003	0.000115	0.000008	0.000104	0.003500	0.000000	0.003500
0.079889	0.010068	0.000022	-0.000116	-0.000132	-0.000000	0.000002	0.000116	0.000009	0.000118	0.003544	0.000000	0.003544
0.090087	0.010198	0.000039	-0.000118	-0.000157	-0.000000	-0.000000	0.000118	0.000010	0.000136	0.003594	0.000000	0.003594
0.099831	0.009745	0.000016	-0.000119	-0.000170	-0.000000	0.000002	0.000119	0.000011	0.000161	0.003654	0.000000	0.003654
0.109966	0.010135	0.000020	-0.000121	-0.000194	-0.000000	-0.000000	0.000121	0.000013	0.000177	0.003715	0.000000	0.003715
0.119800	0.009834	0.000013	-0.000123	-0.000213	-0.000000	0.000000	0.000123	0.000014	0.000201	0.003786	0.000000	0.003786
0.129909	0.010109	0.000034	-0.000125	-0.000230	-0.000000	0.000002	0.000125	0.000015	0.000216	0.003860	0.000000	0.003860
0.139847	0.009938	0.000017	-0.000127	-0.000255	-0.000000	-0.000000	0.000127	0.000016	0.000235	0.003939	0.000000	0.003939
0.149795	0.009947	0.000012	-0.000130	-0.000275	-0.000000	0.000000	0.000130	0.000018	0.000261	0.004030	0.000000	0.004030
0.159994	0.010199	0.000021	-0.000133	-0.000291	-0.000000	0.000003	0.000133	0.000019	0.000277	0.004123	0.000000	0.004123
0.169796	0.009802	0.000012	-0.000136	-0.000315	-0.000000	0.000001	0.000136	0.000020	0.000300	0.004223	0.000000	0.004223
0.179888	0.010091	0.000022	-0.000139	-0.000333	-0.000000	0.000004	0.000139	0.000022	0.000320	0.004330	0.000000	0.004330
0.190011	0.010123	0.000034	-0.000142	-0.000357	-0.000000	0.000003	0.000142	0.000023	0.000334	0.004438	0.000000	0.004438
0.199816	0.009806	0.000016	-0.000146	-0.000386	-0.000000	0.000000	0.000146	0.000025	0.000369	0.004564	0.000000	0.004564
0.209838	0.010021	0.000016	-0.000150	-0.000411	-0.000000	-0.000000	0.000150	0.000026	0.000392	0.004693	0.000000	0.004693
0.219802	0.009964	0.000013	-0.000154	-0.000435	-0.000000	0.000000	0.000154	0.000028	0.000418	0.004831	0.000000	0.004831
0.229890	0.010088	0.000021	-0.000158	-0.000452	-0.000000	0.000004	0.000158	0.000029	0.000438	0.004974	0.000000	0.004974
0.239972	0.010082	0.000022	-0.000163	-0.000477	-0.000000	0.000005	0.000163	0.000031	0.000453	0.005118	0.000000	0.005118
0.249838	0.009866	0.000018	-0.000168	-0.000513	-0.000000	0.000000	0.000168	0.000033	0.000489	0.005281	0.000000	0.005281
0.259892	0.010054	0.000019	-0.000173	-0.000542	-0.000000	-0.000000	0.000173	0.000034	0.000518	0.005452	0.000000	0.005452
0.269805	0.009913	0.000012	-0.000179	-0.000569	-0.000000	0.000000	0.000179	0.000036	0.000552	0.005633	0.000000	0.005633
0.279879	0.010074	0.000021	-0.000184	-0.000598	-0.000000	0.000001	0.000184	0.000038	0.000573	0.005817	0.000000	0.005817
0.290414	0.010535	0.000021	-0.000191	-0.000631	-0.000000	-0.000000	0.000191	0.000040	0.000585	0.006008	0.000000	0.006008
0.299856	0.009442	0.000018	-0.000197	-0.000649	-0.000000	0.000005	0.000197	0.000042	0.000656	0.006229	0.000000	0.006229
0.310084	0.010227	0.000021	-0.000203	-0.000693	-0.000000	0.000000	0.000203	0.000044	0.000658	0.006432	0.000000	0.006432
0.319804	0.009720	0.000013	-0.000210	-0.000717	-0.000000	0.000004	0.000210	0.000046	0.000707	0.006662	0.000000	0.006662
0.329832	0.010028	0.000015	-0.000218	-0.000761	-0.000000	0.000000	0.000218	0.000048	0.000728	0.006892	0.000000	0.006892
0.339881	0.010049	0.000018	-0.000225	-0.000798	-0.000000	-0.000000	0.000225	0.000050	0.000769	0.007144	0.000000	0.007144
0.349819	0.009937	0.000017	-0.000233	-0.000835	-0.000000	0.000000	0.000233	0.000053	0.000809	0.007405	0.000000	0.007405
0.359999	0.010180	0.000021	-0.000242	-0.000871	-0.000000	0.000001	0.000242	0.000055	0.000838	0.007676	0.000000	0.007676
0.369794	0.009795	0.000013	-0.000251	-0.000907	-0.000000	0.000003	0.000251	0.000058	0.000892	0.007965	0.000000	0.007965
0.379779	0.009986	0.000015	-0.000260	-0.000955	-0.000000	-0.000000	0.000260	0.000060	0.000919	0.008254	0.000000	0.008254
0.389967	0.010187	0.000020	-0.000270	-0.000998	-0.000000	-0.000000	0.000270	0.000063	0.000955	0.008564	0.000000	0.008564
0.399809	0.009842	0.000016	-0.000280	-0.001042	-0.000000	0.000000	0.000280	0.000066	0.001020	0.008898	0.000000	0.008898
