8	1605279990124	0.000073	-0.000001	-0.000000
18	10	0.000077	-0.000001	-0.000000
28	10	0.000079	-0.000001	-0.000000
38	10	0.000083	-0.000001	-0.000000
48	10	0.000086	-0.000002	-0.000000
58	10	0.000089	-0.000002	-0.000000
68	10	0.000093	-0.000002	-0.000000
78	10	0.000097	-0.000002	-0.000000
88	10	0.000101	-0.000002	-0.000000
98	11	0.000105	-0.000002	-0.000000
108	9	0.000109	-0.000002	-0.000000
118	10	0.000114	-0.000002	-0.000000
128	10	0.000118	-0.000002	-0.000000
138	10	0.000123	-0.000002	-0.000000
148	11	0.000129	-0.000002	-0.000000
158	10	0.000134	-0.000002	-0.000000
168	10	0.000139	-0.000002	-0.000000
178	10	0.000145	-0.000003	-0.000000
188	10	0.000151	-0.000003	-0.000000
198	10	0.000157	-0.000003	-0.000000
208	10	0.000163	-0.000003	-0.000000
218	10	0.000170	-0.000003	-0.000000
228	10	0.000177	-0.000003	-0.000000
238	10	0.000184	-0.000003	-0.000000
248	10	0.000192	-0.000003	-0.000000
258	10	0.000200	-0.000003	-0.000000
268	10	0.000208	-0.000004	-0.000000
278	10	0.000217	-0.000004	-0.000000
288	10	0.000226	-0.000004	-0.000000
298	10	0.000235	-0.000004	-0.000000
308	10	0.000245	-0.000004	-0.000000
318	10	0.000255	-0.000004	-0.000000
328	10	0.000265	-0.000005	-0.000000
338	10	0.000276	-0.000005	-0.000000
348	10	0.000287	-0.000005	-0.000000
358	10	-0.004994	0.000087	0.000000
368	10	-0.005065	0.000088	0.000000
378	10	-0.005067	0.000088	0.000000
388	10	-0.005076	0.000089	0.000000
398	10	-0.005095	0.000089	0.000000
408	9	-0.005121	0.000089	0.000000
418	10	-0.005156	0.000090	0.000000
428	10	-0.005198	0.000091	0.000000
438	10	-0.005249	0.000092	0.000000
448	10	-0.005309	0.000093	0.000000
458	10	-0.005376	0.000094	0.000000
468	10	-0.005452	0.000095	0.000000
478	10	-0.005537	0.000097	0.000000
488	10	-0.005631	0.000098	0.000000
498	10	-0.005736	0.000100	0.000000
508	10	-0.005848	0.000102	0.000000
518	10	-0.005969	0.000104	0.000000
528	10	-0.006100	0.000106	0.000000
538	10	-0.006241	0.000109	0.000000
548	10	-0.006394	0.000112	0.000000
558	10	-0.006555	0.000114	0.000000
568	10	-0.006728	0.000117	0.000000
578	10	-0.006910	0.000121	0.000000
588	10	-0.007104	0.000124	0.000000
598	10	-0.007311	0.000128	0.000000
608	10	-0.007528	0.000131	0.000000
618	10	-0.007761	0.000135	0.000000
628	10	-0.007999	0.000140	0.000000
638	10	-0.008255	0.000144	0.000000
