seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
0.0,1607277465.475344,122.0,0.18811893463134766,1607277465.6634629,72.0
19.0,1607277465.6692748,122.0,0.10463213920593262,1607277465.773907,72.0
30.0,1607277465.77719,122.0,0.1033170223236084,1607277465.880507,72.0
40.0,1607277465.883701,122.0,0.10974574089050293,1607277465.9934468,72.0
52.0,1607277465.996907,122.0,0.10183191299438477,1607277466.098739,72.0
62.0,1607277466.102587,122.0,0.08831286430358887,1607277466.1908998,72.0
72.0,1607277466.194398,122.0,0.08641314506530762,1607277466.280811,72.0
80.0,1607277466.284429,122.0,0.08752679824829102,1607277466.3719559,72.0
90.0,1607277466.375268,122.0,0.08532500267028809,1607277466.460593,72.0
98.0,1607277466.463594,122.0,0.11095905303955078,1607277466.574553,72.0
110.0,1607277466.577963,122.0,0.11993288993835449,1607277466.697896,72.0
122.0,1607277466.702823,122.0,0.12119007110595703,1607277466.824013,72.0
135.0,1607277466.827557,123.0,0.11015677452087402,1607277466.9377139,73.0
146.0,1607277466.941022,123.0,0.09149003028869629,1607277467.032512,73.0
156.0,1607277467.036326,123.0,0.09900784492492676,1607277467.1353338,73.0
166.0,1607277467.138547,123.0,0.09202408790588379,1607277467.230571,73.0
175.0,1607277467.2337742,123.0,0.09330296516418457,1607277467.3270772,73.0
185.0,1607277467.330492,123.0,0.09947896003723145,1607277467.429971,73.0
195.0,1607277467.4332852,123.0,0.09044194221496582,1607277467.5237272,73.0
205.0,1607277467.526995,123.0,0.08855509757995605,1607277467.61555,73.0
214.0,1607277467.619458,123.0,0.09182286262512207,1607277467.7112808,73.0
224.0,1607277467.714977,123.0,0.1005549430847168,1607277467.815532,73.0
234.0,1607277467.8193028,123.0,0.10273313522338867,1607277467.922036,73.0
245.0,1607277467.9255629,123.0,0.09512901306152344,1607277468.0206919,73.0
254.0,1607277468.0238621,123.0,0.09290003776550293,1607277468.1167622,73.0
264.0,1607277468.1200352,124.0,0.09447598457336426,1607277468.2145112,74.0
274.0,1607277468.2177448,124.0,0.09397220611572266,1607277468.311717,74.0
284.0,1607277468.3152351,124.0,0.11130785942077637,1607277468.426543,74.0
